,target
1,11.992477116431091
2,11.82185030369066
3,14.180202281481813
4,13.56061443736025
5,12.885739371676241
6,17.302170976889855
7,16.66818956366892
10,13.653057508649294
11,12.419537509092887
12,12.945647678387193
13,11.845705178325042
14,11.9312475665809
15,12.86970604783498
16,12.753916558894245
19,11.372639885521103
20,10.893196018404446
21,11.338131504596841
22,10.938325472472279
23,10.31890299149746
24,7.835974581721566
25,7.078341579557671
28,16.64260747002288
29,16.226707874080393
30,16.519338390735765
31,16.89370565450274
32,15.944954267135934
33,15.141031567458
34,15.070038824546566
37,16.09158010032557
38,15.801221608973648
39,15.261878330188354
40,15.480316760700621
41,15.359209869453002
42,14.45650881503257
43,14.048331927756003
46,8.497602541651233
47,8.341886969516187
48,7.718685495198466
49,7.653494909661253
50,12.269793645088024
51,11.825770770960284
52,11.3547266022964
55,12.728781384582895
56,12.036315820844377
57,11.185282138565835
58,11.551617192081215
59,15.720875608683855
60,14.990714375062655
61,13.916158285862792
64,14.380578882339982
65,13.891116978312105
66,13.48109739998487
67,13.483330297621597
68,13.103043953346658
69,13.06160012097856
70,14.70114371216419
73,14.361016989706874
74,14.640273109250554
75,14.626166958918848
76,14.236533348613364
77,13.717206200079264
78,13.07770486618974
79,13.033691713810446
82,14.399009711277225
83,13.275410591494289
84,12.543829770614261
85,12.260863815212865
86,11.134340818267278
87,12.668056703805707
88,12.337911982435484
91,12.93187576898385
92,12.29846949479614
93,12.034067689138169
94,11.482156931298592
95,16.982395118604845
96,16.368108254455155
97,15.93402220049439
100,16.17100683585491
101,15.848858945271937
102,15.190459553121846
103,14.338023023776739
104,12.732424117135983
105,11.973617122068514
106,11.578179355170326
109,12.618096199935584
110,12.015396284353466
111,11.271210528070583
112,12.324077878721079
113,11.844162593724095
114,11.896063161194302
115,16.121836345827305
118,12.346964384227656
119,12.167633227086679
120,12.67510079915423
121,11.642153862978015
122,10.694736467429317
123,13.119501285524073
124,12.722539328561234
127,16.45145734055454
128,16.3635543568015
129,16.236987849044347
130,15.539989973709053
131,15.131120886246787
132,14.469363222647583
133,12.849543644523171
136,16.5869229636149
137,16.01558218970324
138,15.235657886246305
139,14.650365612432877
140,14.002827948108854
141,13.260114603992525
142,13.26051532878707
